주소,사고발생 횟수
서울특별시 강남구 삼성동 봉은사로,94
서울특별시 강남구 삼성동 봉은사로113길,2
서울특별시 강남구 삼성동 봉은사로114길,1
서울특별시 강남구 삼성동 봉은사로68길,5
서울특별시 강남구 삼성동 봉은사로73길,3
서울특별시 강남구 삼성동 봉은사로86길,10
서울특별시 강남구 삼성동 분당수서로,12
서울특별시 강남구 삼성동 삼성로,48
서울특별시 강남구 삼성동 삼성로112길,1
서울특별시 강남구 삼성동 삼성로115길,2
서울특별시 강남구 삼성동 삼성로119길,1
서울특별시 강남구 삼성동 삼성로126길,1
서울특별시 강남구 삼성동 삼성로95길,2
서울특별시 강남구 삼성동 삼성로96길,5
서울특별시 강남구 삼성동 선릉로,32
서울특별시 강남구 삼성동 선릉로100길,13
서울특별시 강남구 삼성동 선릉로120길,5
서울특별시 강남구 삼성동 선릉로126길,5
서울특별시 강남구 삼성동 선릉로86길,1
서울특별시 강남구 삼성동 선릉로92길,2
서울특별시 강남구 삼성동 선릉로94길,4
서울특별시 강남구 삼성동 역삼로107길,4
서울특별시 강남구 삼성동 영동대로,65
서울특별시 강남구 삼성동 영동대로106길,2
서울특별시 강남구 삼성동 영동대로112길,9
서울특별시 강남구 삼성동 영동대로85길,1
서울특별시 강남구 삼성동 올림픽대로,9
서울특별시 강남구 삼성동 테헤란로,101
서울특별시 강남구 삼성동 테헤란로113길,3
서울특별시 강남구 삼성동 테헤란로114길,2
서울특별시 강남구 삼성동 테헤란로115길,5
서울특별시 강남구 삼성동 테헤란로69길,7
서울특별시 강남구 삼성동 테헤란로77길,3
서울특별시 강남구 삼성동 테헤란로78길,1
서울특별시 강남구 삼성동 테헤란로87길,12
서울특별시 강남구 삼성동 테헤란로88길,1
서울특별시 강남구 삼성동 학동로,17
서울특별시 강남구 삼성동 학동로56길,4
서울특별시 강남구 삼성동 학동로68길,4
서울특별시 강남구 삼성동 학동로88길,1
서울특별시 강남구 세곡동 남부순환로,1
서울특별시 강남구 세곡동 밤고개로,18
서울특별시 강남구 세곡동 성남대로,1
서울특별시 강남구 세곡동 자곡로,6
서울특별시 강남구 세곡동 헌릉로,45
서울특별시 강남구 세곡동 헌릉로569길,1
서울특별시 강남구 세곡동 헌릉로718길,2
서울특별시 강남구 세곡동 헌릉로758길,1
서울특별시 강남구 수서동 광평로,57
서울특별시 강남구 수서동 광평로19길,2
서울특별시 강남구 수서동 광평로20길,1
서울특별시 강남구 수서동 광평로31길,1
서울특별시 강남구 수서동 광평로39길,2
서울특별시 강남구 수서동 광평로47길,6
서울특별시 강남구 수서동 광평로51길,8
서울특별시 강남구 수서동 광평로56길,2
서울특별시 강남구 수서동 광평로59길,5
서울특별시 강남구 수서동 광평로60길,2
서울특별시 강남구 수서동 남부순환로,11
서울특별시 강남구 수서동 논현로,1
서울특별시 강남구 수서동 밤고개로,80
서울특별시 강남구 수서동 밤고개로1길,9
서울특별시 강남구 수서동 밤고개로5길,1
서울특별시 강남구 수서동 분당수서로,9
서울특별시 강남구 수서동 양재대로,8
서울특별시 강남구 수서동 양재대로55길,1
서울특별시 강남구 수서동 테헤란로8길,1
서울특별시 강남구 신사동 강남대로,36
서울특별시 강남구 신사동 강남대로152길,3
서울특별시 강남구 신사동 강남대로160길,1
서울특별시 강남구 신사동 경부고속도로,1
서울특별시 강남구 신사동 논현로,40
서울특별시 강남구 신사동 논현로151길,2
서울특별시 강남구 신사동 논현로152길,6
서울특별시 강남구 신사동 논현로167길,4
서울특별시 강남구 신사동 논현로168길,6
서울특별시 강남구 신사동 도산대로,82
서울특별시 강남구 신사동 도산대로13길,14
서울특별시 강남구 신사동 도산대로25길,4
서울특별시 강남구 신사동 도산대로37길,2
서울특별시 강남구 신사동 도산대로45길,1
서울특별시 강남구 신사동 도산대로49길,8
서울특별시 강남구 신사동 선릉로,10
서울특별시 강남구 신사동 선릉로153길,2
서울특별시 강남구 신사동 선릉로157길,5
서울특별시 강남구 신사동 선릉로158길,1
서울특별시 강남구 신사동 선릉로189길,1
서울특별시 강남구 신사동 압구정로,68
서울특별시 강남구 신사동 압구정로12길,11
서울특별시 강남구 신사동 압구정로18길,2
서울특별시 강남구 신사동 압구정로20길,4
서울특별시 강남구 신사동 압구정로29길,1
서울특별시 강남구 신사동 압구정로2길,1
서울특별시 강남구 신사동 압구정로36길,3
서울특별시 강남구 신사동 압구정로42길,2
서울특별시 강남구 신사동 압구정로46길,3
서울특별시 강남구 신사동 압구정로50길,8
서울특별시 강남구 신사동 압구정로79길,1
서울특별시 강남구 신사동 언주로,38
서울특별시 강남구 신사동 언주로153길,1
서울특별시 강남구 신사동 언주로168길,1
서울특별시 강남구 신사동 언주로172길,5
서울특별시 강남구 신사동 언주로174길,1
서울특별시 강남구 신사동 올림픽대로,9
서울특별시 강남구 신사동 잠원로,1
서울특별시 강남구 압구정동 강남대로,13
서울특별시 강남구 압구정동 경부고속도로,1
서울특별시 강남구 압구정동 논현로,22
서울특별시 강남구 압구정동 논현로189길,7
서울특별시 강남구 압구정동 논현로190길,6
서울특별시 강남구 압구정동 선릉로,5
서울특별시 강남구 압구정동 압구정로,43
서울특별시 강남구 압구정동 압구정로20길,1
서울특별시 강남구 압구정동 압구정로29길,2
서울특별시 강남구 압구정동 압구정로33길,4
서울특별시 강남구 압구정동 압구정로39길,1
서울특별시 강남구 압구정동 압구정로42길,1
서울특별시 강남구 압구정동 압구정로60길,1
서울특별시 강남구 압구정동 압구정로61길,1
서울특별시 강남구 압구정동 언주로,45
서울특별시 강남구 압구정동 올림픽대로,70
서울특별시 강남구 압구정동 한남대로,1
서울특별시 강남구 역삼동 강남대로,66
서울특별시 강남구 역삼동 강남대로55길,1
서울특별시 강남구 역삼동 강남대로62길,5
서울특별시 강남구 역삼동 강남대로66길,2
서울특별시 강남구 역삼동 강남대로78길,9
서울특별시 강남구 역삼동 강남대로84길,3
서울특별시 강남구 역삼동 강남대로94길,14
서울특별시 강남구 역삼동 개포로140길,1
서울특별시 강남구 역삼동 개포로53길,1
서울특별시 강남구 역삼동 남부순환로,1
서울특별시 강남구 역삼동 논현로,128
서울특별시 강남구 역삼동 논현로106길,1
서울특별시 강남구 역삼동 논현로16길,1
서울특별시 강남구 역삼동 논현로63길,1
서울특별시 강남구 역삼동 논현로64길,2
서울특별시 강남구 역삼동 논현로67길,1
서울특별시 강남구 역삼동 논현로79길,1
서울특별시 강남구 역삼동 논현로85길,8
서울특별시 강남구 역삼동 논현로86길,5
서울특별시 강남구 역삼동 논현로87길,5
서울특별시 강남구 역삼동 논현로93길,1
서울특별시 강남구 역삼동 논현로94길,6
서울특별시 강남구 역삼동 논현로98길,5
서울특별시 강남구 역삼동 도곡로,46
서울특별시 강남구 역삼동 도곡로23길,1
서울특별시 강남구 역삼동 도곡로37길,1
서울특별시 강남구 역삼동 도곡로3길,3
서울특별시 강남구 역삼동 도곡로43길,2
서울특별시 강남구 역삼동 도곡로51길,1
서울특별시 강남구 역삼동 도곡로57길,1
서울특별시 강남구 역삼동 도곡로7길,7
서울특별시 강남구 역삼동 도곡로93길,1
서울특별시 강남구 역삼동 도산대로,1
서울특별시 강남구 역삼동 도산대로49길,1
서울특별시 강남구 역삼동 봉은사로,76
서울특별시 강남구 역삼동 봉은사로22길,1
서울특별시 강남구 역삼동 봉은사로2길,6
서울특별시 강남구 역삼동 봉은사로38길,4
서울특별시 강남구 역삼동 봉은사로44길,5
서울특별시 강남구 역삼동 사임당로,4
서울특별시 강남구 역삼동 사평대로,1
서울특별시 강남구 역삼동 서초대로,1
서울특별시 강남구 역삼동 서초대로72길,1
서울특별시 강남구 역삼동 선릉로,43
서울특별시 강남구 역삼동 선릉로63길,1
서울특별시 강남구 역삼동 선릉로69길,1
서울특별시 강남구 역삼동 선릉로85길,3
서울특별시 강남구 역삼동 선릉로89길,3
서울특별시 강남구 역삼동 선릉로93길,12
서울특별시 강남구 역삼동 양재대로,3
서울특별시 강남구 역삼동 언주로,117
서울특별시 강남구 역삼동 언주로103길,1
서울특별시 강남구 역삼동 언주로107길,4
서울특별시 강남구 역삼동 언주로108길,3
서울특별시 강남구 역삼동 언주로113길,1
서울특별시 강남구 역삼동 언주로63길,2
서울특별시 강남구 역삼동 언주로65길,2
서울특별시 강남구 역삼동 언주로66길,3
서울특별시 강남구 역삼동 언주로70길,4
서울특별시 강남구 역삼동 언주로81길,2
서울특별시 강남구 역삼동 언주로85길,5
서울특별시 강남구 역삼동 언주로86길,5
서울특별시 강남구 역삼동 언주로87길,1
서울특별시 강남구 역삼동 언주로93길,4
서울특별시 강남구 역삼동 언주로94길,2
서울특별시 강남구 역삼동 언주로97길,5
서울특별시 강남구 역삼동 언주로98길,1
서울특별시 강남구 역삼동 역삼로,63
서울특별시 강남구 역삼동 역삼로3길,7
서울특별시 강남구 역삼동 역삼로4길,7
서울특별시 강남구 역삼동 역삼로5길,1
서울특별시 강남구 역삼동 역삼로63길,1
서울특별시 강남구 역삼동 역삼로7길,7
서울특별시 강남구 역삼동 역삼로8길,5
서울특별시 강남구 역삼동 영동대로86길,1
서울특별시 강남구 역삼동 테헤란로,185
서울특별시 강남구 역삼동 테헤란로10길,1
서울특별시 강남구 역삼동 테헤란로114길,2
서울특별시 강남구 역삼동 테헤란로14길,2
서울특별시 강남구 역삼동 테헤란로19길,2
서울특별시 강남구 역삼동 테헤란로1길,18
서울특별시 강남구 역삼동 테헤란로20길,2
서울특별시 강남구 역삼동 테헤란로25길,4
서울특별시 강남구 역삼동 테헤란로26길,8
서울특별시 강남구 역삼동 테헤란로27길,6
서울특별시 강남구 역삼동 테헤란로28길,3
서울특별시 강남구 역삼동 테헤란로2길,1
서울특별시 강남구 역삼동 테헤란로34길,1
서울특별시 강남구 역삼동 테헤란로37길,5
서울특별시 강남구 역삼동 테헤란로38길,4
서울특별시 강남구 역삼동 테헤란로43길,4
서울특별시 강남구 역삼동 테헤란로44길,2
서울특별시 강남구 역삼동 테헤란로48길,1
서울특별시 강남구 역삼동 테헤란로4길,4
서울특별시 강남구 역삼동 테헤란로51길,3
서울특별시 강남구 역삼동 테헤란로52길,3
서울특별시 강남구 역삼동 테헤란로6길,1
서울특별시 강남구 역삼동 테헤란로7길,6
서울특별시 강남구 역삼동 테헤란로8길,33
서울특별시 강남구 율현동 밤고개로,15
서울특별시 강남구 율현동 자곡로,2
서울특별시 강남구 율현동 헌릉로,5
서울특별시 강남구 율현동 헌릉로718길,1
서울특별시 강남구 율현동 헌릉로745길,2
서울특별시 강남구 율현동 헌릉로757길,2
서울특별시 강남구 일원동 개포로,13
서울특별시 강남구 일원동 개포로110길,4
서울특별시 강남구 일원동 개포로124길,2
서울특별시 강남구 일원동 개포로140길,2
서울특별시 강남구 일원동 광평로,9
서울특별시 강남구 일원동 광평로10길,1
서울특별시 강남구 일원동 광평로19길,1
서울특별시 강남구 일원동 광평로9길,2
서울특별시 강남구 일원동 남부순환로,10
서울특별시 강남구 일원동 밤고개로,1
서울특별시 강남구 일원동 분당수서로,16
서울특별시 강남구 일원동 삼전로,1
서울특별시 강남구 일원동 양재대로,27
서울특별시 강남구 일원동 양재대로27길,1
서울특별시 강남구 일원동 양재대로53길,1
서울특별시 강남구 일원동 양재대로55길,21
서울특별시 강남구 일원동 영동대로,6
서울특별시 강남구 일원동 일원로,22
서울특별시 강남구 일원동 일원로13길,1
서울특별시 강남구 일원동 일원로14길,3
서울특별시 강남구 일원동 일원로3길,9
서울특별시 강남구 일원동 일원로5길,1
서울특별시 강남구 일원동 일원로9길,1
서울특별시 강남구 일원동 자곡로,1
서울특별시 강남구 자곡동 밤고개로,39
서울특별시 강남구 자곡동 분당수서로,1
서울특별시 강남구 자곡동 언주로,2
서울특별시 강남구 자곡동 자곡로,49
서울특별시 강남구 자곡동 자곡로7길,4
서울특별시 강남구 청담동 도산대로,102
서울특별시 강남구 청담동 도산대로45길,1
서울특별시 강남구 청담동 도산대로49길,1
서울특별시 강남구 청담동 도산대로57길,2
서울특별시 강남구 청담동 도산대로58길,3
서울특별시 강남구 청담동 도산대로68길,9
서울특별시 강남구 청담동 도산대로81길,5
서울특별시 강남구 청담동 도산대로92길,1
서울특별시 강남구 청담동 도산대로94길,3
서울특별시 강남구 청담동 봉은사로,1
서울특별시 강남구 청담동 분당수서로,2
서울특별시 강남구 청담동 삼성로,30
서울특별시 강남구 청담동 삼성로133길,2
서울특별시 강남구 청담동 선릉로,26
서울특별시 강남구 청담동 선릉로132길,1
서울특별시 강남구 청담동 선릉로145길,1
서울특별시 강남구 청담동 선릉로146길,3
서울특별시 강남구 청담동 선릉로148길,5
서울특별시 강남구 청담동 선릉로152길,4
서울특별시 강남구 청담동 선릉로158길,2
서울특별시 강남구 청담동 선릉로190길,7
서울특별시 강남구 청담동 압구정로,29
서울특별시 강남구 청담동 압구정로79길,11
서울특별시 강남구 청담동 언주로,1
서울특별시 강남구 청담동 영동대로,70
서울특별시 강남구 청담동 영동대로141길,4
서울특별시 강남구 청담동 올림픽대로,44
서울특별시 강남구 청담동 학동로,32
서울특별시 강남구 청담동 학동로59길,3
서울특별시 강남구 청담동 학동로68길,1
서울특별시 강남구 청담동 학동로6길,1
